date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:25	78584/78584	---M--	200	added ('OK')	font/ttf	date:Tue,%2004%20Apr%202023%2007:41:52%20GMT	https://kelhome.in/assets/fonts/themify9f24.ttf?-fvbane	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/themify9f249f24.ttf	(from https://kelhome.in/assets/css/themify-icons.css)
11:46:26	99704/99704	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2007:40:49%20GMT	https://kelhome.in/assets/fonts/fa-brands-400.eot	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-brands-400.eot	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:26	234269/234269	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Apr%202023%2007:41:48%20GMT	https://kelhome.in/assets/fonts/themify9f24.svg?-fvbane	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/themify9f249f24.svg	(from https://kelhome.in/assets/css/themify-icons.css)
11:46:26	55144/55144	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Apr%202023%2007:41:05%20GMT	https://kelhome.in/assets/fonts/fa-brands-400.woff2	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-brands-400.woff2	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:26	99704/99704	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2007:41:07%20GMT	https://kelhome.in/assets/fonts/fa-brands-400d41d.eot?	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-brands-400d41dd41d.eot	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:27	64392/64392	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2007:40:55%20GMT	https://kelhome.in/assets/fonts/fa-brands-400.woff	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-brands-400.woff	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:28	99468/99468	---M--	200	added ('OK')	font/ttf	date:Tue,%2004%20Apr%202023%2007:40:55%20GMT	https://kelhome.in/assets/fonts/fa-brands-400.ttf	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-brands-400.ttf	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:28	30788/30788	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2007:41:12%20GMT	https://kelhome.in/assets/fonts/fa-regular-400.eot	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-regular-400.eot	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:29	30788/30788	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2007:41:16%20GMT	https://kelhome.in/assets/fonts/fa-regular-400d41d.eot?	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-regular-400d41dd41d.eot	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:29	12216/12216	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Apr%202023%2007:41:19%20GMT	https://kelhome.in/assets/fonts/fa-regular-400.woff2	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-regular-400.woff2	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:29	14672/14672	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2007:41:16%20GMT	https://kelhome.in/assets/fonts/fa-regular-400.woff	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-regular-400.woff	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:30	30560/30560	---M--	200	added ('OK')	font/ttf	date:Tue,%2004%20Apr%202023%2007:41:15%20GMT	https://kelhome.in/assets/fonts/fa-regular-400.ttf	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-regular-400.ttf	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:30	511707/511707	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Apr%202023%2007:40:55%20GMT	https://kelhome.in/assets/fonts/fa-brands-400.svg	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-brands-400.svg	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:30	103937/103937	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Apr%202023%2007:41:12%20GMT	https://kelhome.in/assets/fonts/fa-regular-400.svg	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-regular-400.svg	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:31	115148/115148	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2007:41:16%20GMT	https://kelhome.in/assets/fonts/fa-solid-900.eot	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-solid-900.eot	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:31	115148/115148	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2007:41:23%20GMT	https://kelhome.in/assets/fonts/fa-solid-900d41d.eot?	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-solid-900d41dd41d.eot	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:31	44068/44068	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Apr%202023%2007:41:25%20GMT	https://kelhome.in/assets/fonts/fa-solid-900.woff2	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-solid-900.woff2	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:32	55484/55484	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2007:41:23%20GMT	https://kelhome.in/assets/fonts/fa-solid-900.woff	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-solid-900.woff	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:34	114928/114928	---M--	200	added ('OK')	font/ttf	date:Tue,%2004%20Apr%202023%2007:41:19%20GMT	https://kelhome.in/assets/fonts/fa-solid-900.ttf	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-solid-900.ttf	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:34	420283/420283	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Apr%202023%2007:41:22%20GMT	https://kelhome.in/assets/fonts/fa-solid-900.svg	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/fa-solid-900.svg	(from https://kelhome.in/assets/css/fontawesome-all.css)
11:46:35	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2007:41:24%20GMT	https://kelhome.in/assets/fonts/ionicons28b5.eot?v=2.0.0	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/ionicons28b528b5.eot	(from https://kelhome.in/assets/css/ionicons.min.css)
